created_at,compensated_tds_value
2023-05-20 05:07:39+00:00,237.49
2023-05-20 05:32:24+00:00,237.46
2023-05-20 05:56:41+00:00,237.53
2023-05-20 05:56:41+00:00,237.53
2023-05-20 06:20:54+00:00,237.53
2023-05-20 06:20:54+00:00,237.53
2023-05-20 06:45:29+00:00,237.47
2023-05-20 07:36:12+00:00,237.61
2023-05-20 08:26:20+00:00,237.7
2023-05-20 10:32:55+00:00,237.72
2023-05-20 10:58:26+00:00,237.6
2023-05-20 10:58:26+00:00,237.6
2023-05-20 12:15:24+00:00,237.56
2023-05-20 12:15:24+00:00,237.56
2023-05-20 12:15:24+00:00,237.56
2023-05-20 14:54:49+00:00,237.53
2023-05-20 14:54:49+00:00,237.53
2023-05-20 15:47:32+00:00,237.5
2023-05-20 15:47:32+00:00,237.5
2023-05-20 15:47:32+00:00,237.5
2023-05-20 15:47:32+00:00,237.5
2023-05-20 16:13:58+00:00,237.53
2023-05-20 16:41:04+00:00,237.52
2023-05-20 17:07:56+00:00,237.36
2023-05-20 17:07:56+00:00,237.36
2023-05-20 19:51:35+00:00,237.45
2023-05-20 20:47:28+00:00,237.38
2023-05-21 01:02:05+00:00,237.35
2023-05-27 07:33:04+00:00,237.14
2023-05-27 07:34:42+00:00,237.32
2023-05-27 07:36:00+00:00,237.35
2023-05-27 07:38:56+00:00,237.32
2023-05-27 07:47:48+00:00,237.46
2023-05-27 07:52:05+00:00,237.54
2023-05-27 08:07:28+00:00,237.48
2023-05-27 08:07:28+00:00,237.48
2023-05-27 08:07:28+00:00,237.48
2023-05-27 08:07:28+00:00,237.48
2023-05-27 08:16:34+00:00,237.57
2023-05-27 08:23:04+00:00,237.57
2023-05-27 08:23:04+00:00,237.57
2023-05-27 08:26:29+00:00,237.52
2023-05-27 08:33:40+00:00,237.69
2023-05-27 08:45:24+00:00,237.68
2023-05-27 08:49:25+00:00,237.64
2023-05-27 09:15:52+00:00,237.8
2023-05-27 09:25:22+00:00,237.68
2023-05-27 09:30:15+00:00,237.7
2023-05-27 09:35:16+00:00,237.68
2023-05-27 09:35:16+00:00,237.68
2023-05-27 09:35:16+00:00,237.68
2023-05-27 10:44:10+00:00,237.66
2023-05-27 10:50:34+00:00,237.68
2023-05-27 11:03:35+00:00,237.62
2023-05-27 11:56:08+00:00,237.41
2023-05-27 11:56:08+00:00,237.41
2023-05-27 11:57:46+00:00,237.4
2023-05-27 11:57:46+00:00,237.4
2023-05-27 11:57:46+00:00,237.4
2023-05-27 11:59:04+00:00,237.52
2023-05-27 11:59:04+00:00,237.52
